Age,Grad_Period,Children,S1,A2,D3,A4,D5,S6,A7,S8,A9,D10,S11,S12,D13,S14,A15,D16,D17,S18,A19,A20,D21
25,9,0,2,1,1,2,1,2,1,3,0,0,1,1,3,1,1,1,0,1,1,0,3
21,8,0,2,2,2,0,2,0,2,0,1,1,3,2,0,2,1,0,0,0,1,2,0
18,9,0,1,1,1,0,1,1,1,2,1,0,1,1,0,1,0,2,1,2,2,1,0
23,8,0,2,0,1,0,0,1,0,0,2,2,1,2,1,2,0,0,2,0,2,1,0
25,6,0,1,1,2,1,1,2,0,3,2,1,2,1,0,0,0,0,0,1,0,1,1
19,5,0,1,1,0,0,1,1,1,2,0,0,2,1,1,1,0,0,2,3,0,0,0
26,6,0,1,1,0,2,1,1,0,1,0,2,2,2,2,1,1,0,0,0,1,0,0
25,4,0,1,1,0,0,1,1,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0
22,7,0,0,2,0,0,2,2,2,1,1,1,1,3,0,0,1,0,0,1,0,1,1
19,6,0,2,2,1,1,2,2,0,1,1,0,1,2,1,2,0,1,1,0,2,2,2
18,9,0,2,1,1,0,1,1,0,1,0,2,1,0,3,2,0,0,1,3,1,0,0
29,7,0,1,0,1,1,0,0,0,1,0,0,2,0,1,2,0,0,1,1,1,0,0
18,8,0,0,0,0,0,0,1,2,1,0,1,1,1,1,1,0,0,1,2,0,0,3
21,6,0,1,1,1,1,1,1,0,1,0,1,3,1,1,2,1,2,1,2,2,1,2
29,7,0,2,2,1,1,2,0,2,1,0,2,1,2,0,1,1,1,2,2,1,0,0
24,7,0,0,0,1,1,0,0,0,0,1,0,3,1,2,1,1,1,0,0,1,1,0
26,4,0,1,1,2,1,1,1,1,0,1,3,2,3,2,3,1,1,1,1,1,0,1
30,5,0,1,2,1,2,2,2,3,1,0,0,3,1,2,1,1,0,1,2,1,0,0
28,6,0,2,2,1,0,2,0,0,2,0,3,3,2,2,2,0,1,1,1,1,1,0
22,4,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,2
27,7,0,1,1,1,0,1,0,0,0,2,2,2,1,1,1,0,2,1,2,0,0,1
21,9,0,0,1,0,0,1,1,0,0,4,1,2,3,3,2,1,1,0,0,1,0,1
20,7,0,1,0,1,0,0,1,2,3,2,0,3,2,2,2,0,1,2,0,1,1,1
